policy,seed,logdet_cov,alpha_rmse,holdout_torque_rmse,sigma_eff,ee_error_mean,ee_error_max,tracking_rmse,fault,max_abs_qd,peak_abs_tau,sum_sq_qdd_ref
free_reference,0,-120.51451171720889,0.05425042046647821,0.44242546917594283,0.39210634399304795,nan,nan,0.01965136744859753,False,1.2332023224120556,60.751231806903405,8602.202220939478
no_exploration,0,-98.6229325432879,0.3178182570324236,12.165852889008752,0.15696957353270416,0.004553844039350662,0.008264914197121576,0.013866626639813605,False,0.14879831492162734,49.383716969650195,0.0
smooth_random_nullspace,0,-76.7331587585301,0.11307892798095746,0.9937555595327193,1.0797266487762243,0.003856912769837687,0.0071529530377379205,0.013972608548563185,False,0.1639445778199249,57.920681406911626,5131.164608953431
fourier_nullspace,0,-119.04952618041249,0.04218150041120553,0.3877537634432495,0.2804750705342994,0.005830217932939039,0.014858619868669739,0.013541916072051142,False,0.6557739444209624,54.43183706310361,5018.0389648071605
free_reference,1,-111.99635555867269,0.07121742949337692,0.2505167578983708,0.5339048588999112,nan,nan,0.026050277004938206,False,1.346809516914213,57.964355770120775,6583.813576622122
no_exploration,1,-105.94927610492793,0.07335497721210095,0.4526201094778689,0.08150950073326467,0.015576446009602379,0.02139482492359342,0.023265164935564256,False,0.2553847730115737,50.379733768010944,0.0
smooth_random_nullspace,1,-87.860396830593,0.07475615195716222,0.7833228996781713,0.3566623707928718,0.015760195583919077,0.02306116279964553,0.023037056018684672,False,0.2758895471648938,59.00202664819054,5232.806289378616
fourier_nullspace,1,-128.43146303307532,0.04668346689699435,0.2873372807079844,0.286003617649074,0.01657054942343922,0.025061904158023306,0.02060641286173855,False,0.5150493102229462,59.70845466015421,7910.313557355043
free_reference,2,-119.5494462428884,0.07705947173478135,0.4508198248943714,0.29575947627123883,nan,nan,0.019898402113708125,False,0.7920165293595497,56.62159326815933,3389.757186458388
no_exploration,2,-74.18387316526598,0.08087166694394815,1.2881931142670329,0.1904740160498983,0.01059169417731234,0.012596588323762436,0.012746198204776531,False,0.06431003158260173,54.38961841331387,0.0
smooth_random_nullspace,2,-71.59569508791103,0.07850878233408641,0.8044175060333318,1.0115565209783866,0.010261715427727252,0.013695769123170333,0.012484748386302036,False,0.08279432574495174,59.033836930386734,5067.060231112412
fourier_nullspace,2,-126.85294319057289,0.05322713407768192,0.20151466421796235,0.2935402404729488,0.011907753909690571,0.01858364940054442,0.01404965081986872,False,0.5297966692248107,59.59698060231097,11961.94046816165
free_reference,3,-118.10386897105637,0.091880074464384,0.5423338576894672,0.3168588250963198,nan,nan,0.010518040590052371,False,1.618001107491598,56.320006723554854,7998.115852599771
no_exploration,3,-70.33941377615265,0.11504845905623612,1.4920040972814856,0.10202354496213716,0.0035542189066914208,0.005245679875980105,0.007579615518485899,False,0.06196514296312205,49.06266498526526,0.0
smooth_random_nullspace,3,-72.30403271307843,0.1042538435279025,0.4475350923514896,0.6783034409719662,0.004012787274583872,0.005441855619396821,0.00844519995085234,False,0.09549996152405883,59.1979684193502,5037.5692221349955
fourier_nullspace,3,-130.9901196994337,0.031197367139494225,0.10656761557272523,0.26891350779791284,0.005704660093579437,0.012001291612132262,0.008649271565771851,False,0.5168435017290708,57.45939411942637,13997.82702616365
free_reference,4,-132.2624196882955,0.055050709989418564,0.2659714917047444,0.3093321724098265,nan,nan,0.025804731515145077,False,1.5076197019070177,80.21817836947393,6146.0689707909705
no_exploration,4,-76.79392378789882,0.11110536168018018,1.3090470502376228,0.1400395959085289,0.014970356573995442,0.017051753154423335,0.01416170826040141,False,0.0586811967928868,48.94630508318763,0.0
smooth_random_nullspace,4,-72.01404723597042,0.12086661856254229,1.300002529304054,0.3743956185386033,0.014685782326098589,0.01763503446934122,0.014722188075639447,False,0.08624101486815099,57.82945472321041,4753.733481660224
fourier_nullspace,4,-126.20761279484434,0.04248520785443707,0.37320133698243924,0.29520519575028675,0.012680993015046558,0.02298332018201661,0.020459312909272102,False,0.4549842022581761,57.740998306159156,12540.419932296376
free_reference,5,-125.66852195782562,0.04208670403881764,0.11167654273563556,0.3187647225704824,nan,nan,0.04117443868414706,False,1.2201114281977063,85.96829021721712,4897.254318898387
no_exploration,5,-95.69180873641226,0.11154719963716446,1.956055958451933,0.16093169900362098,0.018265391762865388,0.022637352781614287,0.0357561692485583,False,0.2025765373207519,49.58544597452611,0.0
smooth_random_nullspace,5,-75.351184680462,0.08146597027455463,0.7759206762399208,1.144757827044519,0.01806586620180299,0.02334901230079566,0.03534677970887088,False,0.22445326074650027,58.370424639408704,5438.259545174183
