config,policy,seed,logdet_cov,trace_cov,alpha_rmse,holdout_torque_rmse,validation_torque_rmse,fault,tracking_rmse,saturation_fraction,max_abs_q,max_abs_qd,peak_abs_tau,sigma_eff
vertical,hold_sequence,0,-90.82006735548961,0.005059383775263922,0.1631437134947579,0.3546022294636694,0.11215970764166479,False,0.016395104416679677,0.0,0.42019162612073646,0.36989295293636454,24.19867556466937,0.07837199826104918
vertical,smooth_random,0,-101.87831573397325,0.0004246276666569592,0.02525031714549457,0.050672430867873215,0.07748601793103489,False,0.01579112908213735,0.0,0.8051454308026605,0.8817776816369778,21.669871823014574,0.07742638945664262
vertical,fourier_envelope,0,-103.73883298362077,0.00015668685347801486,0.004712301757549698,0.00952235103622292,0.07928076379857196,False,0.012977337831315786,0.0,2.887273027755592,1.763981678328391,21.83994429588604,0.07433597143806586
vertical,segment_fim_greedy,0,-105.6754469591551,0.0002745959084812744,0.032305649770431454,0.064877629864238,0.07740821286833958,False,0.012160828279449375,0.0,2.0044643790170493,0.9350224981873634,27.275978719113805,0.07104685412709616
vertical,segment_active_ig,0,-104.90497436016369,0.00028678533648116423,0.04952993271292643,0.08925235809274822,0.07801035542771748,False,0.015980785505710877,0.0,1.149893284724589,0.877422927832375,25.68575989293222,0.0761155027172676
vertical,hold_sequence,1,-90.53210958954202,0.005006345881425077,0.19150654184977578,0.40785150635463513,0.11964782590139456,False,0.0023066082708344884,0.0,0.6345263356326075,0.39808673875626627,26.40842448778458,0.07736926304768756
vertical,smooth_random,1,-102.0855479451473,0.0005257355502263299,0.03132089698790943,0.06353098088114635,0.07859604760368012,False,0.003337221440101808,0.0,0.8606780708189957,0.8340220829981229,26.352928227679378,0.07821001941099302
vertical,fourier_envelope,1,-106.67477928358934,8.177104464053788e-05,0.0025519339472289595,0.019476673841153622,0.08285624240196009,False,0.005852100295196525,0.0,3.1440824583989535,2.00094960502133,25.305077334012196,0.06636692552946269
vertical,segment_fim_greedy,1,-103.94279702083332,0.000314971579597965,0.04191429402074727,0.08143106980841268,0.07860484012377349,False,0.004061574637604257,0.0,0.7572922421778845,1.0096829883615095,28.170547495415743,0.08492342301394201
vertical,segment_active_ig,1,-105.34232084555249,0.0002528866649303152,0.04091323776939144,0.07707011139106992,0.0787797951305199,False,0.0041848049929048385,0.0,1.173193667115182,1.151771019738569,28.0909291408385,0.07513001167565306
vertical,hold_sequence,2,-88.12034548273814,0.006295591556225213,0.141299161172446,0.3071312266673095,0.10897729532691737,False,0.03847934382068588,0.0,0.42821142763334546,0.4558391896576647,27.360646789865115,0.10348658744001787
vertical,smooth_random,2,-102.16008908339518,0.0005729115016179586,0.04753443414996003,0.10451597892877364,0.08176071228420817,False,0.04090818770845903,0.0,0.580519490950737,0.7664774623538505,27.599483825631555,0.08339246666019058
vertical,fourier_envelope,2,-106.96973389788657,8.739442093533811e-05,0.0030579396419897933,0.007478486894914302,0.08111904027161153,False,0.02566439274873766,0.0,2.4472542778483337,1.455615562248432,21.91696360993929,0.05972482124419601
vertical,segment_fim_greedy,2,-101.06450232190252,0.00045952820157209003,0.03985306109246771,0.09034008737172312,0.081290384469493,False,0.03498101816487506,0.0,1.354615422279851,0.8934793065642677,28.07399795371585,0.09241456803521489
vertical,segment_active_ig,2,-104.91181190191224,0.0002589427338165272,0.021344804366575036,0.049883993423052775,0.0807494845609312,False,0.035181959421114475,0.0,1.7526391608160357,1.253139988013612,27.888701382938052,0.08258065089845383
vertical,hold_sequence,3,-91.11434114410984,0.005226102693798137,0.17388858741349572,0.3739116312255731,0.11494296013583713,False,0.007694836783908966,0.0,0.3490908923267588,0.4165494891095851,25.21713324757996,0.081591377962847
vertical,smooth_random,3,-100.47935505610296,0.0006273872546981015,0.05596610884407305,0.10547901749256298,0.07909979038620531,False,0.00807884303747315,0.0,0.9822513908145243,0.7893926330723131,27.613006384212156,0.08196906939611685
vertical,fourier_envelope,3,-105.99780310155487,7.199283234206132e-05,0.0038897209389295927,0.028369139495331028,0.0854161323322514,False,0.007167541229120905,0.0,2.5121800832247505,1.8341508604014054,22.625489267978487,0.060366019800164955
