cal,calibration_alpha_rmse,failure,fault,feasibility_risk_ext,feasibility_risk_ext_est,feasibility_risk_tau_only,hold_ee_error,horizon,rho_tau,rho_vel,seed,target,torque
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,0,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,1,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,2,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,3,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,4,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,5,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,6,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,7,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,8,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,9,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,10,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,11,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,12,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,13,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,14,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,15,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,16,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,17,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,18,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,19,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,20,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,21,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,22,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,23,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,24,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,25,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,26,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,27,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,28,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,29,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,30,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,31,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,32,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,33,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,34,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,35,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,36,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,37,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,38,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,39,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,40,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,41,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,42,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,43,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,44,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,45,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,46,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,47,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,48,near,loose
cal0,0.0,False,False,0.5617233285596307,0.5617233285596307,0.1779296144021842,1.329784298692486e-05,normal,0.1779296144021842,0.5617233285596307,49,near,loose
cal0,0.0,True,True,2.106462482098615,2.106462482098615,0.27355158659947876,inf,normal,0.27355158659947876,2.106462482098615,0,far,loose
cal0,0.0,True,True,2.106462482098615,2.106462482098615,0.27355158659947876,inf,normal,0.27355158659947876,2.106462482098615,1,far,loose
cal0,0.0,True,True,2.106462482098615,2.106462482098615,0.27355158659947876,inf,normal,0.27355158659947876,2.106462482098615,2,far,loose
cal0,0.0,True,True,2.106462482098615,2.106462482098615,0.27355158659947876,inf,normal,0.27355158659947876,2.106462482098615,3,far,loose
cal0,0.0,True,True,2.106462482098615,2.106462482098615,0.27355158659947876,inf,normal,0.27355158659947876,2.106462482098615,4,far,loose
