alpha_rmse,ee_error_max,fault,holdout_torque_rmse,logdet_cov,max_abs_qd,policy,saturation_fraction,seed,sigma_eff,tracking_rmse
0.05827858961985294,nan,False,1.4724328368224746,-554.7010140596688,1.5160018485801234,free_reference,0.0,0,0.1316804897276428,0.0036921917977062345
0.10663288738884408,0.00276513334274755,False,1.7354657278703005,-235.24287812584907,0.029874185714518848,no_exploration,0.0,0,0.01,0.0020291366136847
0.06776227313992486,0.0032084997583070843,False,1.5158220491422818,-584.3997188070532,1.2355508987655885,nullspace_fourier,0.0,0,0.09760679109548268,0.0032840589258378698
0.05891380249679853,nan,False,1.3498689709700906,-577.0075340049957,1.4696816969292974,free_reference,0.0,1,0.15745223163284994,0.0024519893708441257
0.07185610126703455,0.0014713019316895982,False,0.5772485907745469,-235.24287812584907,0.03080026083250854,no_exploration,0.0,1,0.01,0.00179094317355756
0.07944787520047397,0.0018121274882925038,False,2.3954242637759995,-560.3387811073044,0.9151531325691615,nullspace_fourier,0.0,1,0.1007832662832457,0.002421034020243837
0.06446079000131597,nan,False,1.066380350397879,-580.3534516388419,1.703506306023687,free_reference,0.0,2,0.13617148557991632,0.0031518798794567806
0.09109858863950271,0.0023314780764706676,False,2.0140692645162432,-235.24287812584907,0.028285558862522736,no_exploration,0.0,2,0.01,0.001678974380082092
0.08532865678766666,0.0025457017195774463,False,2.2451164405191633,-566.1392746868931,1.172281932453307,nullspace_fourier,0.0,2,0.10548761113789,0.002237828787318904
0.08209353236008224,nan,False,1.8523871754172967,-553.5959239378241,2.001235235827299,free_reference,0.0,3,0.17001759673986483,0.0037605701185484145
0.08369877105003878,0.0013693303763854254,False,0.7499947517356905,-235.24287812584907,0.03225556977665666,no_exploration,0.0,3,0.01,0.001749440955325538
0.07967833462526419,0.0016958431713048512,False,2.5850579173199613,-593.3529721113155,1.1443441767559765,nullspace_fourier,0.0,3,0.10826540607535728,0.0026730175723315513
0.05358592554782474,nan,False,1.14377811186078,-512.08045866104,1.9158211651302313,free_reference,0.0,4,0.1440115570371682,0.0018452514265042438
0.08071669492386892,0.0010584028994706871,False,1.3243093318583041,-235.24287812584907,0.01848679548723375,no_exploration,0.0,4,0.01,0.0013038333984004642
0.07549615318689251,0.0015799517610331057,False,1.458922300338164,-597.8422572223631,1.2167765244021689,nullspace_fourier,0.0,4,0.09043140355568857,0.0020943974372394526
0.04490132675773222,nan,False,0.7192657395922223,-565.1938921054164,1.4769200011342811,free_reference,0.0,5,0.14661419128549202,0.003603630611816812
0.0849343204475754,0.0012297010275803175,False,1.3376082880650733,-235.24287812584907,0.012436427454570138,no_exploration,0.0,5,0.01,0.000920794793383017
0.09985593310575272,0.0013916916485497148,False,2.091916928780598,-600.5940129600779,1.2462125332058271,nullspace_fourier,0.0,5,0.11536618441592751,0.002247571443382151
0.05733213195294853,nan,False,0.9353564316922093,-537.8307798269972,1.3348832684822525,free_reference,0.0,6,0.1473303520203896,0.0049880954978630985
0.04985549949192306,0.0022302819788717707,False,1.7254307730426268,-235.24287812584907,0.027591354348399086,no_exploration,0.0,6,0.01,0.0015978007037413093
0.05544069593880522,0.0022734434862765854,False,1.8179837260161884,-560.429723703649,0.9485054346834265,nullspace_fourier,0.0,6,0.10406886595002313,0.0017176045338970127
0.08302981683672783,nan,False,2.3235735672788564,-468.05804939107105,1.2494575543902187,free_reference,0.0,7,0.13556689072604255,0.0025586687777515702
0.07896120931567266,0.00043898027994205023,False,0.3075694443818224,-235.24287812584907,0.006905372459861453,no_exploration,0.0,7,0.01,0.0004193775729259375
0.08165168281953862,0.0007128642527285934,False,2.157255760111526,-576.7538728012157,0.9665829479013307,nullspace_fourier,0.0,7,0.09512568308480444,0.0018944750806029033
0.1440421188607961,nan,False,4.859544998578549,-489.6268927723878,1.454638227873231,free_reference,0.0,8,0.20499660336327238,0.003830770559506854
0.06491583049374365,0.0025762081938026245,False,1.515865543205704,-235.24287812584907,0.04985497554169871,no_exploration,0.0,8,0.01,0.0023403202925979106
0.06188653419890083,0.003012748292174051,False,1.403197989476499,-588.5063527805016,1.2314940227221893,nullspace_fourier,0.0,8,0.10329467149055664,0.0032664467618394974
0.041021445342383764,nan,False,0.5055579838040906,-605.7277824569069,1.3008262121099905,free_reference,0.0,9,0.12982122097511367,0.004131305515620572
0.0759103115743545,0.002419680011699109,False,1.4114929467946509,-235.24287812584907,0.0299839542518861,no_exploration,0.0,9,0.01,0.001825875577363326
0.10404328130928626,0.002678192682173088,False,1.8305253359466394,-581.619818207999,1.302256790319722,nullspace_fourier,0.0,9,0.0978433501860552,0.002643768844704945
0.1128852385069524,nan,False,2.949138821740698,-523.1671108397135,1.3722912854820255,free_reference,0.0,10,0.16121612006915534,0.002413878568757134
0.07521721757936077,0.0022183527533365583,False,1.4157931843711709,-235.24287812584907,0.02698969314749482,no_exploration,0.0,10,0.01,0.0017957444893007392
0.0913919526650616,0.0026476486613283734,False,1.9574714973636458,-587.6287934048263,1.1479203666264555,nullspace_fourier,0.0,10,0.08733375033524733,0.002584954964651304
0.05320763085599503,nan,False,0.9516930088686019,-548.4914193474084,1.6313750985784254,free_reference,0.0,11,0.19605542698968798,0.0025448418650109586
0.050221876493744134,0.0007397056559073293,False,0.5309018196610389,-235.24287812584907,0.01899859253148005,no_exploration,0.0,11,0.01,0.001127500469627958
0.055974550127328,0.000911283238139071,False,1.5986338823227684,-563.2170669930784,0.9574462585069156,nullspace_fourier,0.0,11,0.09547296416801147,0.001889855434921491
0.07432372720932685,nan,False,1.7043557783732908,-560.2775325172944,1.5653783882543242,free_reference,0.0,12,0.14557831215940345,0.002463675207596148
0.08704808728449527,0.0020844077780600113,False,1.0821305414587534,-235.24287812584907,0.038565606977215776,no_exploration,0.0,12,0.01,0.0018240570205064921
0.14232959401090875,0.002869738753389912,False,2.648667965328779,-575.5132556281311,1.2599831861799193,nullspace_fourier,0.0,12,0.11375301975779847,0.0029049783086256323
0.09639675528902242,nan,False,2.1181891991187967,-551.5445925707428,1.5205139470303082,free_reference,0.0,13,0.1639446324744654,0.0022966891764394696
0.09064730067014283,0.0006602902755252845,False,1.0170120385935677,-235.24287812584907,0.019374702162794397,no_exploration,0.0,13,0.01,0.0015012739113550286
0.09177604518416652,0.0013181032314048588,False,2.364012466693307,-584.2203210913101,1.2224522467264793,nullspace_fourier,0.0,13,0.09316362536680842,0.0023313481877053157
0.18474233493869838,nan,False,4.470444116500583,-526.9527233547461,1.5528692687335595,free_reference,0.0,14,0.16204031614736084,0.0030662519883964826
0.09573194508535471,0.001954237150833465,False,0.753709993796932,-235.24287812584907,0.033515817821419214,no_exploration,0.0,14,0.01,0.002249401178373872
0.06769118343831215,0.0023194977802579015,False,1.8643575954880653,-568.8394859711913,1.2426073202888235,nullspace_fourier,0.0,14,0.10696792010118464,0.003318538889318554
0.04400992339943788,nan,False,1.1483387778662235,-546.3766208630004,1.197111660747835,free_reference,0.0,15,0.12946392830186762,0.0028424307381901093
0.04343344426673217,0.0004227116082243194,False,0.5171130884794097,-235.24287812584907,0.03506456602944364,no_exploration,0.0,15,0.01,0.0018455450817227814
0.07749945343988146,0.0007110824246535646,False,2.671351932544616,-571.5900531525768,1.0752657959169538,nullspace_fourier,0.0,15,0.10300059441543816,0.002221929710840431
0.06659006770590031,nan,False,1.6073007379634725,-528.2354648310225,1.0575467703634778,free_reference,0.0,16,0.12140068842988191,0.003174245668537897
0.08562690099157495,0.0011089978765282285,False,1.5980390354347522,-235.24287812584907,0.03795321531547633,no_exploration,0.0,16,0.01,0.002472087412393219
0.09737043653046829,0.0013078519334751057,False,2.502973178692901,-594.5359586513154,1.2374419684586881,nullspace_fourier,0.0,16,0.11782274670867536,0.0033350555319780974
0.06367572372808132,nan,False,1.4406621377314943,-563.4964654720497,1.9526883314224905,free_reference,0.0,17,0.1636431496689236,0.003524117309870572
0.06415334082169669,0.0024033241383937887,False,1.9327033524986708,-235.24287812584907,0.028457406812883772,no_exploration,0.0,17,0.01,0.001536076582551595
0.10337422934856005,0.0029108581125967007,False,2.8853155762584026,-610.0696731107588,1.288152906782423,nullspace_fourier,0.0,17,0.09230559006670996,0.0023981076232019965
0.04792448961757698,nan,False,0.7558683002803638,-536.3516346425503,1.6302069894912932,free_reference,0.0,18,0.1426396538612011,0.003116193300361194
0.08505608883735193,0.0014183431259454362,False,1.2283955446243202,-235.24287812584907,0.02659279316440704,no_exploration,0.0,18,0.01,0.0012909973350346028
0.09289849384990205,0.001688236774416314,False,1.9351491488160724,-557.6453883326346,1.2483108561024536,nullspace_fourier,0.0,18,0.12549528619055425,0.0028058973889259643
0.0634068605502927,nan,True,1.221579860141449,-487.83519070193654,1.4839012006007062,free_reference,0.0,19,0.13921572798134493,0.0020591426105602724
0.07263781120485768,0.002179361535413519,False,0.6751469622586103,-235.24287812584907,0.035514305944701174,no_exploration,0.0,19,0.01,0.0023741201955704513
0.09465654431813968,0.002308231456806211,False,3.2199377885720373,-565.99067853234,0.9492709918358201,nullspace_fourier,0.0,19,0.1051978113851023,0.002988382625529448
