cal,calibration_alpha_rmse,diverged,failure,fault,feasibility_risk_ext,feasibility_risk_ext_est,feasibility_risk_tau_only,hold_error,hold_velocity,holdout_torque_rmse,horizon,pin_shift,rho_tau,rho_tau_est,rho_vel,saturation_fraction,seed,target,torque
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,40,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,41,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,42,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,43,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,44,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,45,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,46,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,47,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,48,near,loose
cal0,0.0,False,False,False,0.46875,0.46875,0.4155627762735316,0.00020510406195904166,0.0010827106491939687,0.0,normal,False,0.4155627762735316,0.4155627762735316,0.46875,0.0,49,near,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,0,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,1,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,2,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,3,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,4,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,5,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,6,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,7,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,8,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,9,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,10,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,11,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,12,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,13,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,14,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,15,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,16,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,17,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,18,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,19,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,20,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,21,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,22,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,23,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,24,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,25,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,26,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,27,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,28,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,29,far,loose
cal0,0.0,False,False,False,0.8333333333333335,0.8333333333333335,0.5487455021108685,0.0003514506690484495,0.0019661945167801795,0.0,normal,False,0.5487455021108685,0.5487455021108685,0.8333333333333335,0.0,30,far,loose
